_rank,_name,_score,Back,Background,Body,Glass,Hand,Hat,Legendary,Mouth,Neck,Prop,Shirt
37,Oppa Bear Evolution Gen.1 #103,884.3637133219391,Green Sword,Bubble Pink,Rainbow Rare,Detective Glass Green,Hand Soundabout V2,Fashion Hat Yellow,,Open Mouth,Headphone Yellow,Gum Yellow,Rain Coat Green
38,Oppa Bear Evolution Gen.1 #116,883.4988457112868,Basketball Pink,Art Shade V.1,Rainbow Rare,Motorbike Glass Pink,Hand Soundabout V2,King Crown Purple,,Smirk,Scarf Yellow,Rose Yellow,Hawaiian Blue
39,Oppa Bear Evolution Gen.1 #106,878.5645869127217,Skateboard Purple,Circle Red,Rainbow Rare,Scuba Yellow,Hand Soundabout V3,Smart Hat Purple,,Angry,Headphone Yellow,Pizza Yellow,Rain Coat Pink
40,Oppa Bear Evolution Gen.1 #872,868.6562620647974,Gun Yellow,Fraction Yellow,Rainbow Rare,Motorbike Glass Green,Hand Ice Cream V3,HipHop Purple,,Smirk,Headphone Red,Gum Red,Basketball Shirt Green
41,Oppa Bear Evolution Gen.1 #121,867.1295141580352,Guitar Pink,Bubble Pink,Rainbow Rare,Rayban Green,Hand Soundabout V2,Yo Hat Pink,,Open Mouth,Headphone Pink,Honey Blue,Rain Coat Green
42,Oppa Bear Evolution Gen.1 #105,864.0980118205057,Gun Yellow,Circle Red,Rainbow Rare,Heart Red,,Honey Jar Yellow,,Playful,Bag Blue,Rose Purple,Rain Coat Yellow
43,Oppa Bear Evolution Gen.1 #101,864.0100070015293,,Circle Green,Rainbow Rare,Scuba Blue,,Ring Purple,,Angry,Scarf Yellow,Gum Blue,Gap Pink
44,Oppa Bear Evolution Gen.1 #312,862.9676724963387,Sword Black,Green,Rainbow Rare,Rayban Blue,,King Crown Blue,,Smile,Headphone Yellow,Rose Purple,Suit Blue
45,Oppa Bear Evolution Gen.1 #129,857.7824407048378,,Sunshine Pink,Rainbow Rare,Circle Blue,Hand Spray V2,Honey Jar Purple,,Angry,,Rose Yellow,Hoodie Oversize Green
46,Oppa Bear Evolution Gen.1 #724,852.3302891237482,Guitar Blue,Sunshine Pink,Rainbow Rare,Detective Glass Purple,,Hiphop Black,,Playful,,Lollipop Purple,Raincoat Purple
47,Oppa Bear Evolution Gen.1 #128,849.4956588663813,,Rainbow Shade V1,Rainbow Rare,Circle Red,Hand Soundabout Blue V1,Bucket Green,,Angry,,Rose Orange,Hoodie Blue
48,Oppa Bear Evolution Gen.1 #127,843.3303490661563,Sword Black,Fraction Yellow,Rainbow Rare,Rainbow Shade V.2,Hand Donut V1,Snow Blue,,Smirk,Headphone Pink,Gum Yellow,Sweater Yellow
49,Oppa Bear Evolution Gen.1 #461,841.9427842120573,Baseball Green,Circle Green,Rainbow Rare,Rainbow Shade V.3,,Mario Blue,,Smile,,Lollipop Green,Torn Shirt Black
50,Oppa Bear Evolution Gen.1 #111,841.4390623337879,Sword Purple,Theme Purple,Rainbow Rare,Motor Bike Glass Orange,,Yo Hat Pink,,Smirk,Headphone Yellow,Gum Blue,Future Yellow
51,Oppa Bear Evolution Gen.1 #104,838.7231140578066,Skateboard Green,Theme Orange,Rainbow Rare,Motorbike Glass Pink,Hand Ice Cream V1,Cap Blue,,Angry Rainbow,,Honey Blue,Palm Shirt Purple
52,Oppa Bear Evolution Gen.1 #126,836.3075633101936,Gun Pink,Spiral Blue,Rainbow Rare,,Hand Soundabout Blue V1,Small Hat Green,,Open Mouth,Scarf Yellow,Honey Purple,Gap Pink
53,Oppa Bear Evolution Gen.1 #118,830.9640660786079,Baseball Green,Fraction Yellow,Rainbow Rare,Rainbow Shade V.1,,Halo Yellow,,Smile,Headphone Green,Pizza Blue,Hoodie Mix White
54,Oppa Bear Evolution Gen.1 #180,829.4674113580925,Sword Black,Wall Blue,Rainbow Rare,Rayban Blue,,Yo Hat Pink,,Smirk,,Parrot Purple,Jacket Brown
55,Oppa Bear Evolution Gen.1 #298,820.134653630921,Gun Pink,Bubble Orange,Rainbow Rare,Motorbike Glass Green,Hand Ice Cream V3,,,Smirk Rainbow,,Lollipop Blue,Hoodie Mix Yellow
56,Oppa Bear Evolution Gen.1 #109,819.275801635605,Green Sword,Futuristic V.1,Rainbow Rare,Normal Yellow,,Fashion Hat Yellow,,Smile,Bag Purple,,Turtle Neck Blue
57,Oppa Bear Evolution Gen.1 #456,817.0960878660998,,Art Shade V.2,Rainbow Rare,Circle Green,Hand Ice Cream V2,Small Hat Green,,Smirk,Scarf Red,Pizza Yellow,Bib Purple
58,Oppa Bear Evolution Gen.1 #842,817.0355476556921,Baseball Silver,Purple,Rainbow Rare,,Hand Spray V3,Halo Yellow,,Open Mouth,Scarf Yellow,Gum Yellow,Suit Blue
59,Oppa Bear Evolution Gen.1 #479,805.3613571042594,,Rainbow Wall Light,Rainbow Rare,Color Lens V.3,Hand Soundabout V2,Baseball Green,,Smile,Headphone Yellow,Honey Blue,Basketball Shirt Red
60,Oppa Bear Evolution Gen.1 #113,805.3435522597033,Skateboard Green,Rainbow Wink Shade,Rainbow Rare,Circle Red,Hand Donut V2,,,Open Mouth,,Pizza Blue,Raincoat Orange
61,Oppa Bear Evolution Gen.1 #631,803.4575814604534,Gun Green,Blue,Rainbow Rare,,,King Crown Purple,,Playful,Headphone Yellow,Rose Purple,Hoodie Oversize Blue
62,Oppa Bear Evolution Gen.1 #359,802.9353839799016,Skateboard Purple,Pink,Rainbow Rare,Circle Red,Hand Ice Cream V3,Honey Jar Purple,,Angry,,,Bee Pink
63,Oppa Bear Evolution Gen.1 #543,800.5628404903543,Gun Yellow,Pink,Rainbow Rare,Rayban Blue,,Ring Red,,Open Mouth,,Parrot Yellow,Gap Pink
64,Oppa Bear Evolution Gen.1 #696,793.8993041397689,Guitar Blue,Red,Rainbow Rare,Heart Green,,Bucket Black,,Playful,Scarf Red,Lollipop Green,Torn Shirt Black
65,Oppa Bear Evolution Gen.1 #550,790.6430699984534,Guitar Yellow,Purple,Rainbow Rare,Scuba Red,,Halo Pink,,Open Mouth,Headphone Green,Honey Blue,Raincoat Purple
66,Oppa Bear Evolution Gen.1 #112,786.435830890389,Green Sword,Green,Rainbow Rare,,Hand Soundabout V2,Hiphop Pink,,Smirk,,Honey Blue,Hood Blue
67,Oppa Bear Evolution Gen.1 #124,781.774878161293,,Fraction Yellow,Rainbow Rare,,,Mario Blue,,Smile,Headphone Green,Pizza Purple,Turtle Neck Pink
68,Oppa Bear Evolution Gen.1 #271,781.5424111763807,Baseball Golden,Futuristic V.3,Rainbow Rare,,,Smart Hat Blue,,Open Mouth,Headphone Yellow,Gum Yellow,Basketball Shirt Red
69,Oppa Bear Evolution Gen.1 #305,777.2698734272992,Sword Purple,Art Shade V.1,Rainbow Rare,,,Fashion Hat Blue,,Angry Rainbow,Headphone Green,Rose Orange,King Red
70,Oppa Bear Evolution Gen.1 #833,776.4255104538647,Baseball Green,Theme Orange,Rainbow Rare,,,Small Hat Purple,,Smirk,Headphone Pink,Gum Blue,Hoodie Mix White
71,Oppa Bear Evolution Gen.1 #432,774.5114947319,,Orange,Rainbow Rare,Star Yellow,,HipHop Green,,Smirk Rainbow,,,Future Purple
72,Oppa Bear Evolution Gen.1 #443,770.3856222576209,,Sunshine Pink,Rainbow Rare,Star Pink,,Snow Purple,,Smile,,,Future Blue
73,Oppa Bear Evolution Gen.1 #108,768.4633752706869,,Rainbow Shade V.2,Rainbow Rare,Detective Glass Purple,,Bucket Black,,Angry,,,Basketball Shirt Red
74,Oppa Bear Evolution Gen.1 #819,766.8432854134986,Guitar Blue,Shade Purple,Rainbow Rare,,,Smart Hat Blue,,Smirk Rainbow,,Lollipop Blue,Hoodie Pink
75,Oppa Bear Evolution Gen.1 #110,766.5025431464554,Skateboard Purple,Rainbow Shade V1,Rainbow Rare,Circle Green,Hand Donut V3,,,Playful,,Pizza Yellow,Basketball Shirt Green
76,Oppa Bear Evolution Gen.1 #859,763.3614135152349,Skateboard Yellow,Blue,Rainbow Rare,Rainbow Shade V.1,,HipHop Yellow,,Angry,,Gum Blue,Hoodie Blue
77,Oppa Bear Evolution Gen.1 #125,761.153898004738,Basketball Orange,Rainbow Wink Shade,Rainbow Rare,,,Ring Red,,Playful,Scarf Red,Gum Yellow,Gap Pink
78,Oppa Bear Evolution Gen.1 #216,752.8492987851425,Basketball Orange,Rainbow Wink Style,Rainbow Rare,,,Smart Hat Blue,,Smile,,Lollipop Blue,Basketball Shirt Green
79,Oppa Bear Evolution Gen.1 #114,750.8598659655389,Guitar Pink,Pink,Rainbow Rare,Star Yellow,Hand Ice Cream V2,,,Smile,,Lollipop Blue,Hood Blue
80,Oppa Bear Evolution Gen.1 #852,749.6213487042439,Gun Yellow,Wave Clear,Rainbow Rare,,,Snow Blue,,Playful,,,Rain Coat Pink
81,Oppa Bear Evolution Gen.1 #102,740.6976093561473,Basketball Green,Art Shade V.3,Rainbow Rare,,,Party Hat Red,,Open Mouth,,Rose Yellow,Torn Shirt Black
82,Oppa Bear Evolution Gen.1 #587,739.019323682199,Gun Pink,Pink,Rainbow Rare,,,Cap Blue,,Smile,Headphone Pink,Honey Yellow,Hawaiian Red
83,Oppa Bear Evolution Gen.1 #107,738.7870890876289,,Orange,Rainbow Rare,Star Pink,,Mario Blue,,Smile,Headphone Pink,Rose Yellow,Bee Pink
84,Oppa Bear Evolution Gen.1 #117,736.9025206523377,,Fraction Yellow,Rainbow Rare,,,Bear Hat Orange,,Smirk Rainbow,,Gum Red,Bib Black
85,Oppa Bear Evolution Gen.1 #115,729.5501966021599,Skateboard Green,Futuristic V.1,Rainbow Rare,,Hand Soundabout V3,,,Playful,,Lollipop Green,King Red
86,Oppa Bear Evolution Gen.1 #753,728.8417599932642,Gun Yellow,Theme Green,Rainbow Rare,,Hand Soundabout V3,,,Open Mouth,Bag Blue,Pizza Purple,Palm Shirt Red
87,Oppa Bear Evolution Gen.1 #122,717.4548534604716,Basketball Orange,Spiral Purple,Rainbow Rare,,,,,Angry Rainbow,Bag Purple,Rose Orange,Jacket Green
88,Oppa Bear Evolution Gen.1 #336,665.6707910183995,,Futuristic V.3,Rainbow Rare,,,,,Smile,,Gum Blue,Palm Shirt Purple
89,Oppa Bear Evolution Gen.1 #1069,540.939335091967,,Rainbow Shade V.1,White,Matrix Black,,Yo Hat Yellow,,Angry,Headphone Green,Gum Red,Torn Shirt Red
90,Oppa Bear Evolution Gen.1 #1488,539.5753727376217,Basketball Orange,Lens Green,Pink,Heart Red,,Fashion Hat Pink,,Smile,Headphone Red,Pizza Yellow,Rain Coat Yellow
91,Oppa Bear Evolution Gen.1 #584,524.796265201782,Baseball Silver,Lens Green,Pink,Matrix Black,,Bear Hat Pink,,Angry Rainbow,Bag Yellow,,Jacket Green
92,Oppa Bear Evolution Gen.1 #400,508.80674410014825,Green Sword,Rainbow Wall Dark,Blue,Rayban Brown,,Party Hat Purple,,Angry,Scarf Yellow,,Torn Shirt Red
93,Oppa Bear Evolution Gen.1 #1746,502.346385329148,Basketball Orange,Purple,Blue,Star Blue,Hand Soundabout Blue V1,King Crown Blue,,Smirk Rainbow,Headphone Pink,,Torn Shirt Red
94,Oppa Bear Evolution Gen.1 #1794,501.4016585444409,Basketball Pink,Fraction Green,Green,Circle Green,Hand Soundabout V3,Cowboy Small Green,,Angry,,Honey Purple,Torn Shirt Red
95,Oppa Bear Evolution Gen.1 #668,501.36435893802474,Skateboard Yellow,Rainbow Shade V.1,Brown,Rayban Brown,Hand Donut V1,Cap Black,,Smirk Rainbow,Bag Purple,Honey Purple,Gap Yellow
96,Oppa Bear Evolution Gen.1 #740,486.65101226900333,Gun Pink,Orange,Green,Circle Blue,Hand Ice Cream V2,Cap Black,,Smile,Headphone Yellow,Pizza Blue,Jacket Pink
97,Oppa Bear Evolution Gen.1 #1314,485.30958426103575,Skateboard Purple,Orange,Green,Heart Blue,Hand Spray V1,Party Hat Blue,,Playful,Bag Yellow,Pizza Yellow,Torn Shirt Red
98,Oppa Bear Evolution Gen.1 #1858,476.1070940700527,Wing Blue,Futuristic V.3,Sky Blue,Normal Blue,,Hiphop Black,,Open Mouth,Headphone Red,Lollipop Blue,Hoodie Oversize Green
99,Oppa Bear Evolution Gen.1 #928,472.9307092126908,Guitar Pink,Wave Calm,Sky Blue,,Hand Spray V2,Honey Jar Purple,,Smile,,Lollipop Purple,Torn Shirt Red
100,Oppa Bear Evolution Gen.1 #847,469.0126392956165,Skateboard Yellow,Wave Clear,Purple,Heart Blue,Hand Soundabout V3,Fashion Hat Pink,,Open Mouth,Scarf Yellow,Lollipop Green,Gap Yellow
101,Oppa Bear Evolution Gen.1 #1808,466.5270109957236,Basketball Green,Wave Calm,Grey,Rayban Green,Hand Spray V1,Baseball Purple,,Smirk,,Lollipop Purple,Suit Black
102,Oppa Bear Evolution Gen.1 #172,462.97751671391757,Skateboard Green,Wave Clear,Yellow,Heart Red,,Cowboy Big Green,,Angry,Bag Yellow,Pizza Purple,Bee Yellow
103,Oppa Bear Evolution Gen.1 #965,461.98583586454777,Baseball Green,Wave Clear,Blue,Scuba Yellow,Hand Donut V2,Honey Jar Green,,Playful,,Honey Purple,Future Blue
104,Oppa Bear Evolution Gen.1 #1664,457.634632927662,Green Sword,Fraction Yellow,Pink,Color Lens V.1,Hand Ice Cream V2,Mario Red,,Playful,Headphone Red,Parrot Yellow,King Yellow
105,Oppa Bear Evolution Gen.1 #1868,453.92419146488214,Baseball Golden,Wave Bright,Sky Blue,Matrix Black,Hand Soundabout V3,King Crown Red,,Open Mouth,,Rose Yellow,Hood Red
106,Oppa Bear Evolution Gen.1 #1509,452.54440859692966,Skateboard Purple,Lens Green,Grey,Star Yellow,,King Crown Red,,Open Mouth,,Honey Blue,Jacket Brown
107,Oppa Bear Evolution Gen.1 #1903,450.41450363292336,Wing Blue,Rainbow Shade V.3,Blue,Circle Red,Hand Spray V2,Cowboy Big Purple,,Smirk,Bag Yellow,Gum Red,King Red
108,Oppa Bear Evolution Gen.1 #987,449.4586603522516,Baseball Green,Wave Calm,Grey,Rainbow Shade V.2,Hand Soundabout Blue V1,Cowboy Small Purple,,Smirk Rainbow,Headphone Red,,Jacket Green
109,Oppa Bear Evolution Gen.1 #980,449.37365604968227,Guitar Blue,Lens Green,Sky Blue,,Hand Ice Cream V3,Small Hat Purple,,Angry,,Gum Blue,Suit Black
110,Oppa Bear Evolution Gen.1 #1540,449.2988298580636,,Rainbow Shade V3,Blue,Circle Red,Hand Soundabout V2,Cap Red,,Angry Rainbow,Scarf Yellow,Parrot Purple,Jacket Green
111,Oppa Bear Evolution Gen.1 #1092,445.82025743034654,Skateboard Green,Lens Blue,Brown,Star Yellow,Hand Soundabout Blue V1,Cap Black,,Angry,Bag Purple,Lollipop Blue,Hoodie Mix Yellow
112,Oppa Bear Evolution Gen.1 #1021,437.4250030272806,Guitar Pink,Theme Blue,Purple,,Hand Spray V3,Cowboy Big Green,,Open Mouth,,,Turtle Neck Pink
113,Oppa Bear Evolution Gen.1 #150,436.70113611274667,Green Sword,Lens Green,White,Rayban Green,,Honey Jar Purple,,Angry,Headphone Pink,,Sweater Yellow
114,Oppa Bear Evolution Gen.1 #600,434.6685730102678,Sword Black,Lens Green,Purple,Color Lens V.3,,Bear Hat Orange,,Angry,Headphone Pink,Pizza Blue,Hood Red
115,Oppa Bear Evolution Gen.1 #779,434.3983466216954,Basketball Green,Theme Blue,Grey,Detective Glass Blue,,Cowboy Big Green,,Playful,Bag Purple,Honey Purple,Basketball Shirt Yellow
116,Oppa Bear Evolution Gen.1 #1287,431.36515370946705,Guitar Yellow,Lens Green,Brown,,Hand Soundabout Blue V1,Smart Hat Purple,,Smirk,,Lollipop Purple,Hoodie Mix Purple
117,Oppa Bear Evolution Gen.1 #690,426.31139193774123,Skateboard Purple,Lens Green,White,Heart Blue,,Halo Pink,,Angry,Bag Blue,Lollipop Green,Palm Shirt Purple
118,Oppa Bear Evolution Gen.1 #1527,426.09115340374717,Baseball Silver,Theme Purple,Yellow,Rainbow Shade V.2,,HipHop Green,,Smirk,Headphone Pink,Honey Purple,Torn Shirt Red
119,Oppa Bear Evolution Gen.1 #1410,425.13782842854425,Wing Blue,Sunshine Yellow,Green,Rainbow Shade V.1,Hand Donut V1,Snow Orange,,Smirk,,Rose Orange,Raincoat Purple
120,Oppa Bear Evolution Gen.1 #1665,424.4996320363791,Baseball Silver,Theme Blue,Brown,Star Pink,,Hiphop White,,Smirk Rainbow,Bag Purple,Lollipop Purple,Future Purple
121,Oppa Bear Evolution Gen.1 #7,424.0105520776856,Basketball Green,Art Shade V.1,Sky Blue,Normal Green,Hand Ice Cream V2,King Crown Blue,,Smirk Rainbow,,Pizza Blue,Bee Yellow
122,Oppa Bear Evolution Gen.1 #588,422.68627396260547,Wing Red,Lens Green,Green,,Hand Spray V3,Cap Blue,,Open Mouth,,Lollipop Green,Hoodie Mix White
123,Oppa Bear Evolution Gen.1 #1391,422.0853931775046,Skateboard Green,Circle Green,Blue,Rainbow Shade V.3,,Halo Yellow,,Playful,,Parrot Purple,Hood Yellow
124,Oppa Bear Evolution Gen.1 #1743,420.64381283307796,Baseball Green,Bubble Blue,Yellow,Circle Red,Hand Donut V1,Bear Hat Green,,Angry,Headphone Red,Rose Orange,Sweater Red
125,Oppa Bear Evolution Gen.1 #1991,419.83569154143714,Basketball Orange,Rainbow Shade V1,Blue,Star Yellow,Hand Spray V1,Smart Hat Blue,,Open Mouth,Scarf Yellow,Honey Yellow,Jacket Pink
126,Oppa Bear Evolution Gen.1 #1818,418.8336924369555,Skateboard Yellow,Sunshine Blue,White,Heart Green,Hand Ice Cream V2,Cap Red,,Angry,Headphone Pink,,Turtle Neck Pink
127,Oppa Bear Evolution Gen.1 #1752,418.36196960397984,Basketball Orange,Wall Yellow,Pink,Rainbow Shade V.2,,Headphone Orange,,Smirk Rainbow,,Honey Yellow,Future Yellow
128,Oppa Bear Evolution Gen.1 #1811,418.3481522638183,Sword Purple,Rainbow Shade V1,Yellow,Detective Glass Purple,Hand Spray V1,Fashion Hat Pink,,Playful,,Gum Red,Hawaiian Yellow
129,Oppa Bear Evolution Gen.1 #706,417.94672396667545,Gun Pink,Wave Calm,Brown,Circle Blue,Hand Spray V1,Ring Red,,Smirk,Scarf Red,Honey Yellow,Jacket Green
130,Oppa Bear Evolution Gen.1 #1804,417.7549769231327,Guitar Blue,Wave Calm,Purple,Normal Yellow,Hand Donut V2,Mario Yellow,,Smirk,,Honey Purple,Hood Red
131,Oppa Bear Evolution Gen.1 #42,417.3688526151572,Baseball Green,Theme Blue,White,,Hand Spray V1,Cowboy Small Purple,,Open Mouth,Scarf Red,Rose Yellow,Raincoat Orange
132,Oppa Bear Evolution Gen.1 #1641,416.80992320154394,Sword Black,Wave Bright,White,Scuba Yellow,,Cowboy Small Black,,Playful,,,Jacket Pink
133,Oppa Bear Evolution Gen.1 #1943,416.12734558710014,Gun Yellow,Futuristic V.1,Yellow,Rayban Brown,Hand Ice Cream V3,Fashion Hat Pink,,Smile,Headphone Red,Gum Yellow,Raincoat Purple
134,Oppa Bear Evolution Gen.1 #1020,415.15114014546407,,Sunshine Blue,Pink,Rayban Brown,,Cowboy Small Green,,Playful,,Honey Purple,Torn Shirt Red
135,Oppa Bear Evolution Gen.1 #1857,413.7676814377803,Wing Yellow,Rainbow Shade V.2,Green,Color Lens V.3,,Yo Hat Yellow,,Angry Rainbow,,Parrot Purple,Turtle Neck Green
136,Oppa Bear Evolution Gen.1 #1007,412.7719972448066,Basketball Orange,Lens Blue,Grey,Star Pink,Hand Spray V2,Cap Black,,Open Mouth,,Honey Yellow,Hawaiian Yellow
137,Oppa Bear Evolution Gen.1 #1842,412.20357399809217,Basketball Pink,Rainbow Wink Style,Blue,Motor Bike Glass Orange,Hand Donut V2,Hiphop White,,Angry,Headphone Green,Lollipop Green,Hawaiian Blue
138,Oppa Bear Evolution Gen.1 #1168,411.74053498826845,Skateboard Purple,Rainbow Wall Shade,Purple,Motorbike Glass Pink,Hand Donut V1,Yo Hat Blue,,Angry,,Gum Red,Jacket Brown
139,Oppa Bear Evolution Gen.1 #1620,411.2585214688185,Skateboard Purple,Rainbow Shade V.1,Green,Scuba Blue,,Party Hat Purple,,Playful,,Pizza Purple,Basketball Shirt Red
140,Oppa Bear Evolution Gen.1 #1587,410.73369732271306,Skateboard Green,Rainbow Shade V.3,Green,Star Pink,,Smart Hat Black,,Angry Rainbow,Bag Blue,Lollipop Green,Gap Yellow
141,Oppa Bear Evolution Gen.1 #1045,410.27541357683464,Gun Yellow,Rainbow Shade V.1,Grey,,Hand Spray V3,Cowboy Small Black,,Angry,,Parrot Yellow,Bib Purple
142,Oppa Bear Evolution Gen.1 #1087,410.1931877149699,Sword Purple,Red,Purple,Motor Bike Glass Orange,Hand Spray V1,Fashion Hat Pink,,Open Mouth,Scarf Green,Pizza Yellow,Sweater Red
143,Oppa Bear Evolution Gen.1 #365,408.6179168181472,,Fraction Pink,Pink,Rayban Brown,Hand Spray V2,Party Hat Purple,,Smirk Rainbow,Headphone Pink,Rose Orange,Hoodie Pink
144,Oppa Bear Evolution Gen.1 #391,407.95202092944044,Skateboard Yellow,Circle Red,Sky Blue,Rainbow Shade V.2,,Ring Yellow,,Smirk Rainbow,Scarf Green,Honey Purple,Hoodie Oversize Green
145,Oppa Bear Evolution Gen.1 #1198,407.7529312757007,Sword Black,Fraction Green,Pink,Rayban Green,,Honey Jar Green,,Playful,Headphone Yellow,,Suit Black
