_rank,_name,_score,Back,Background,Body,Ear,Eye,Glasses,Head,Left Chest,Mouth,Necklace,Outfit,Props,Right Chest,Shoulder
139,Oppa Bear Evolution Gen.2 #596,3025.0796260230222,RocketPurple,ShadePink,Rainbow Super Rare,PlasterYellow,EyesPink,SmartBlue,StylishHairGreen,LollipopYellow,NormalPurple,ShawlRed,JacketYellow,,MilitaryBlue,VenomPurple
142,Oppa Bear Evolution Gen.2 #97,3020.868281811678,QuestionYellow,StarLightPurple,Rainbow Super Rare,HeartPurple,EyesPink,SmartYellow,HiphopPink,OPPink,ExcitedBlack,,MarioRed,WhiskerRed,MilitaryPurple,VenomPink
146,Oppa Bear Evolution Gen.2 #10,3016.0997170431133,BackpackBlue,DropYellow,Rainbow Super Rare,HeadPhoneGreen,EyesPink,StarPink,RainbowRed,CloudBlue,ExcitedPink,,JacketYellow,BeardGreen,MilitaryBlue,ShieldPink
150,Oppa Bear Evolution Gen.2 #746,3001.6751863432546,CupGreen,AbstractRed,Rainbow Super Rare,HeartPurple,EyesRed,SmartYellow,StylishHairPink,TopPink,SurprisedGreen,,SpaceShiftPurple,JellyPink,RoundBlue,AliveGreen
154,Oppa Bear Evolution Gen.2 #75,2991.8008001577405,RabbitPurple,VenomRed,Rainbow Super Rare,WireGreen,EyesRed,Matrix,ClownGreen,MoonGreen,NormalGreen,ChainRed,UniformDressPink,,RoundRed,RabbitPurple
158,Oppa Bear Evolution Gen.2 #715,2979.435013587365,ThunderYellow,BurnBlue,Rainbow Super Rare,,EyesPink,Duplex,,SoulBlue,HappyGreen,ShawlRed,UniformBrown,RazorBeardYellow,GhostPurple,ShieldPurple
162,Oppa Bear Evolution Gen.2 #903,2973.018238633245,SickleBlue,MixPurple,Rainbow Super Rare,EarringsBlue,EyesRed,GreenPurple,PolicePink,MoonPurple,SurprisedPurple,HeartPurple,DressGreen,MiniHeartPink,,
166,Oppa Bear Evolution Gen.2 #119,2967.4008763518636,BrokenWingPink,AbstractPink,Rainbow Super Rare,HeadPhoneRed,EyesPink,RadarYellow,,MushroomYellow,NormalBlue,SoulChainGreen,WearGreen,Shy,BearYellow,FoxYellow
170,Oppa Bear Evolution Gen.2 #984,2965.2509611079017,QuestionYellow,StarPurple,Rainbow Super Rare,RingBlue V2,EyesRed,EyePatch,HiphopPink,RadiantPink,Scary,Bitcoin,AstronautGreen,BrightRed,TagOrange,
174,Oppa Bear Evolution Gen.2 #357,2960.0895375641257,LookGreen,SmokeRed,Rainbow Super Rare,SmokeBlue,EyesRed,SleepYellow,HornYellow,CaptainRed,Upset,,RobotBlue,,SunflowerYellow,
178,Oppa Bear Evolution Gen.2 #144,2949.3885124461654,,StarLightGreen,Rainbow Super Rare,RingYellow,EyesGreen,OPYellow,PunkPink,MarsPurple,NormalBlue,DiamondRed,SteamPunkBlue,,,StarGreen
181,Oppa Bear Evolution Gen.2 #926,2947.7601150160604,RabbitPurple,DropPurple,Rainbow Super Rare,CherryYellow,EyesGreen,LoopGreen,BandYellow,LollipopYellow,Upset,,WinterWearPurple,,StarLight,SprayGreen
185,Oppa Bear Evolution Gen.2 #662,2947.229521762933,CupBrown,HeartPurple,Rainbow Super Rare,PlasterPink V2,EyesRed,BeamYellow,,BlinkRed,SurprisedPurple,HeartRed,UniformDressPink,,StarGreen,FrogPurple
189,Oppa Bear Evolution Gen.2 #719,2935.8362785682193,BrokenWingPink,VenomGreen,Rainbow Super Rare,RingPurple,EyesRed,Duplex,DinosaurGreen,LipPink,HappyBrown,ScarfGreen,WearGreen,RazorBeardPurple,TagPurple,
193,Oppa Bear Evolution Gen.2 #274,2932.611052283782,BalloonPink,CirclePurple,Rainbow Super Rare,JapanTagBlue,EyesRed,OPPink,BandBlue,CloudRed,NormalPurple,DoraemonBlue,TuxedoPurple,Shy,CatBroochBrown,
197,Oppa Bear Evolution Gen.2 #408,2926.3453369836357,BulbYellow,StarLightGreen,Rainbow Super Rare,RingPurple,EyesGreen,StarPink,HelicopterBlue,NinjaBlue,Scary,RainBow,RainbowSuit,Shy,RoundRed,
201,Oppa Bear Evolution Gen.2 #564,2922.564494096126,,ShadeRed,Rainbow Super Rare,WireYellow,EyesPink,GreenRed,TurbineYellow,OPPink,Lovely,,SuitRed,,BroochBlue,
205,Oppa Bear Evolution Gen.2 #684,2921.337942869575,ThunderBlue,HeartPurple,Rainbow Super Rare,RingsPurple,EyesPink,GreenRed,StylishHairGreen,TagBlack,NormalGreen,,SportsWearGreen,,CryHeartPink,ShieldPink
209,Oppa Bear Evolution Gen.2 #729,2909.5225128852644,RabbitBlue,StarRed,Rainbow Super Rare,TurtleRed,EyesPink,,ClownGreen,OPOrange,NormalBlue,ShawlGreen,SpaceShiftGreen,MiniHeartPink,24TagGreen,Bomberman
213,Oppa Bear Evolution Gen.2 #253,2908.7518193901174,BagYellow,FuturisticBlue,Rainbow Super Rare,CuteGhost,EyesGreen,RazorGreen,,SprayPurple,SurprisedPurple,,SportsWearGreen,PlasterBrown,StarRed,SprayGreen
217,Oppa Bear Evolution Gen.2 #675,2903.845918781808,,MixGreen,Rainbow Super Rare,DoubleRingRed,EyesRed,SleepPurple,BoaterYellow,CanPurple,HappyPurple,,JacketGrey,OppaPlaster,GameoverPurple,BearBlue
221,Oppa Bear Evolution Gen.2 #841,2901.6529363256664,LookRed,ThunderRed,Rainbow Super Rare,,EyesRed,StarYellow,,PooPink,SurprisedPurple,DoraemonBlue,SuitBlue,,SakuraYellow,
224,Oppa Bear Evolution Gen.2 #200,2900.9395847777173,DollarYellow,StarLightYellow,Rainbow Super Rare,EarsYellow,EyesPink,,MarioCapRed,CloudRed,HappyPurple,BagBlue,WinterWearGreen,RazorBeardGreen,BlowPink,Plug
228,Oppa Bear Evolution Gen.2 #809,2895.364345631122,ParrotPurple,ThunderRed,Rainbow Super Rare,EarPhoneYellow,EyesPink,RedBlue V2,CapPurple,JoyStick,NormalBlue,HeartRed,JacketBlue,,HeadBonePink,Bomberman
232,Oppa Bear Evolution Gen.2 #642,2890.134873491815,SickleBlue,SmokeGreen,Rainbow Super Rare,PlasterYellow V2,EyesRed,RedBlue,HairPink,ConeMix,SurprisedPurple,SoulChainBlue,TuxedoPurple,,24TagGreen,HappySoulPurple
236,Oppa Bear Evolution Gen.2 #845,2889.2122675750193,,VenomGreen,Rainbow Super Rare,EarsPurple,EyesPink,PirateBlindGreen,PolicePurple,BearPink,NormalBlue,TuxedoPink,SuitPink,,Pocket,StarBlue
240,Oppa Bear Evolution Gen.2 #832,2886.972618199152,BrokenWingPink,ShadeRed,Rainbow Super Rare,HornPurple,EyesGreen,SparklingBlue,,TopBlue,NormalPurple,,SportsWearGreen,PlasterBrown,BlowRed,
244,Oppa Bear Evolution Gen.2 #264,2886.1883090067054,,BoomYellow,Rainbow Super Rare,BowYellow,EyesPink,WingBlue,RainbowRed,MushroomPink,HappyBrown,,ScottBlue,JellyPurple,HappyPurpleCat,LipPink
248,Oppa Bear Evolution Gen.2 #80,2883.7761517673903,ParrotPink,LineRed,Rainbow Rare,PlasterRed,EyesGreen,SquareBlue,ClayRed,LollipopPink,Lovely,DoubleChainGreen,TuxedoPurple,MiniHeartYellow,BearBlue,OppaTagYellow
252,Oppa Bear Evolution Gen.2 #766,2879.2374564966426,BrokenWingBlue,HeartBlue,Rainbow Super Rare,HeadPhoneGreen,EyesPink,WingBlue,CapCute Pink,BombYellow,NormalGreen,TieGreen,SuitGreen V2,,,AvengersOrange
256,Oppa Bear Evolution Gen.2 #1,2878.8897864508303,RabbitPurple,VenomRed,Rainbow Super Rare,SmokeLightGreen,EyesPink,AngryPurple,BandRed,IceCreamPink,Upset,DoraemonRed,ScotPink,,BoneRed,MilkYellow
260,Oppa Bear Evolution Gen.2 #14,2878.276858017445,WingYellow,MixPurple,Rainbow Super Rare,,EyesPink,SleepPurple,BagBlue,MarsBrown,HappyGreen,ChainRed,SpaceShiftPurple,,Ninja,
263,Oppa Bear Evolution Gen.2 #62,2866.438267381664,RabbitOrange,StarPurple,Rainbow Super Rare,,EyesPink,Bow,DinosaurBlue,IceCreamPurple,ExcitedBlack,ShawlRed,PirateKingYellow,,BroochGreen,CoolConePurple
267,Oppa Bear Evolution Gen.2 #12,2866.157992101388,,GrainPurple,Rainbow Super Rare,CherryPink,EyesPink,ScubaPurple,,PooGreen,Lovely,,JacketGrey,SnotYellow,RocketYellow,TickGreen
271,Oppa Bear Evolution Gen.2 #638,2857.162682720336,RadioPurple,HeartBlue,Rainbow Super Rare,EarringsYellow,EyesGreen,Matrix,,TopBlue,NormalBlue,BagBlue,SportsWearGreen,JellyPurple,RoundYellow,FaceYellow
275,Oppa Bear Evolution Gen.2 #165,2851.1169174781076,MusicBlue,SmokeRed,Rainbow Super Rare,,EyesGreen,RadarYellow,RingBlue,TopRed,SurprisedGreen,ScarfBlue,ScotPink,PlasterWhite,,AvengersPink
279,Oppa Bear Evolution Gen.2 #462,2844.4250466842323,LookRed,BoomRed,Rainbow Super Rare,,EyesPink,,,BirdPink,SurprisedPurple,TieGreen,JacketGrey,MoonGreen,GhostBlue,
283,Oppa Bear Evolution Gen.2 #64,2843.015261862515,SickleBrown,TonePurple,Rainbow Super Rare,PaintPurple,EyesGreen,RainbowPink,HelicopterBlue,ConeMix,HappyGreen,,UniformBlue,,,AliveGreen
287,Oppa Bear Evolution Gen.2 #510,2842.0760499664752,,FuturisticPurple,Rainbow Super Rare,,EyesGreen,AngryBlue,HairGreen,MushroomPurple,SurprisedGreen,TuxedoBlue,HoodieYellow,MoonGreen,SmallPetGreen,
291,Oppa Bear Evolution Gen.2 #962,2840.937291685537,RadioYellow,PunkYellow,Rainbow Super Rare,AirHeadYellow,EyesRed,,,JoyStick,NormalPurple,RibbonPurple,WearLightGreen,BeardGreen,SunflowerYellow,VenomPurple
295,Oppa Bear Evolution Gen.2 #314,2834.8851799462236,PizzaRed,BoomRed,Rainbow Super Rare,,EyesPink,StarPink,HornYellow,HeartBlue,Upset,,AstronautPurple,,CatBroochBrown,
299,Oppa Bear Evolution Gen.2 #955,2834.3891398380974,WingYellow,FuturisticPurple,Rainbow Super Rare,RingsPurple,EyesGreen,ScubaRed,BagBlue,IceCreamPurple,NormalBlue,DoubleChainPink,WearPurple,PlasterWhite,BananaYellow,
303,Oppa Bear Evolution Gen.2 #449,2830.607741246039,RadioGreen,MixRed,Rainbow Super Rare,RingBlue V2,EyesGreen,Matrix,ClayYellow,SprayOrange,ExcitedBlack,DoraemonRed,AstronautBluishGreen,,,
306,Oppa Bear Evolution Gen.2 #74,2823.6976746410714,CameraBlue,SmokePurple,Rainbow Super Rare,,EyesPink,ScubaRed,HeadBandYellow,BearPink,Scary,,WearGreen,,BoxPurple,
310,Oppa Bear Evolution Gen.2 #789,2822.804330346653,,DropGreen,Rainbow Super Rare,,EyesGreen,YellowPurple V2,TopPink,MushroomYellow,SurprisedPurple,,HoodieBlue,SweatYellow,BlowRed,
314,Oppa Bear Evolution Gen.2 #885,2818.758169701566,SkateboardRed,MixGreen,Rainbow Super Rare,BowPurple,EyesPink,,RingOrange,JoyStick,ExcitedBlack,,RobotBlue,ScarRed,GameoverPurple,Bomberman
318,Oppa Bear Evolution Gen.2 #906,2815.901658798022,RingGreen,VenomPurple,Rainbow Super Rare,HornPurple,EyesGreen,Bow,,MushroomPurple,NormalPurple,DiamondPink,DressGreen,WhiskerGreen,,
322,Oppa Bear Evolution Gen.2 #109,2814.2311546267765,,ThunderRed,Rainbow Super Rare,RingsPurple,EyesRed,PinkBlue V2,HiphopRed,TagBlack,SurprisedGreen,,DressYellow,,RocketPurple,ShieldRed
326,Oppa Bear Evolution Gen.2 #629,2813.8883495266477,PizzaRed,StarPurple,Rainbow Super Rare,RingBlue V2,EyesGreen,,HiphopBlue,OPPink,Scary,ChainBlue,WearPurple,Plaster,,FoxBlue
330,Oppa Bear Evolution Gen.2 #651,2813.699470231102,,PunkRed,Rainbow Super Rare,HeadPhoneRed,EyesPink,AngryPurple,,OPPink,ExcitedBlack,HeartPurple,ScottGreen,SweatGreen,AvengersPink,BearGreen
334,Oppa Bear Evolution Gen.2 #864,2802.700031645208,SignRed,LineRed,Rainbow Super Rare,KeyOrange,EyesRed,LoopOrange,,RadiantYellow,NormalPurple,ChainPurple,RobotRed,,,HappySoulBlue
338,Oppa Bear Evolution Gen.2 #822,2795.2120903751334,TagBlue,BoomYellow,Rainbow Super Rare,,EyesGreen,SparklingPurple,,GhostRed,HappyGreen,TieGreen,AstronautPurple,SnotGreen,BananaYellow,CoolConeGreen
342,Oppa Bear Evolution Gen.2 #633,2794.504060949237,BackpackRed,AbstractBlue,Rainbow Super Rare,AirHeadRed,EyesRed,WingBlue,HiphopBlue,TopRed,NormalPurple,,SpaceShiftGreen,,24TagOrange,
345,Oppa Bear Evolution Gen.2 #470,2794.0218271601257,CameraGreen,PunkRed,Rainbow Super Rare,DollPetGreen,EyesGreen,Tired,,SprayGreen,Scary,ShawlGreen,ScotPink,StarYellow,CryHeartBlue,
349,Oppa Bear Evolution Gen.2 #366,2793.8530095022884,ParrotPink,StarGreen,Rainbow Super Rare,IronMaskOrange,EyesPink,LoopPurple,,StarButtonBlue,Upset,,ScottBlue,WhiskerYellow,,TickYellow
353,Oppa Bear Evolution Gen.2 #579,2793.538337735812,QuestionYellow,TonePurple,Rainbow Super Rare,DollPetRed,EyesRed,PirateBlindPurple,HornBlue,OPPurple,HappyGreen,,HoodieBlue,,,VenomPurple
357,Oppa Bear Evolution Gen.2 #858,2791.575182437934,BackpackRed,HeartBlue,Rainbow Super Rare,EarringsPurple,EyesPink,SparklingBlue,HelicopterBlue,RadiantPink,NormalBlue,,JacketBlue,,StarBlue,AliveGreen
361,Oppa Bear Evolution Gen.2 #882,2791.30590407268,ParrotPink,ShadeGreen,Rainbow Super Rare,HornRed,EyesPink,SmartBlue,MarioCapYellow,ButterflyBlue,NormalBlue,BagBlue,SteamPunkBlue,,,FlowerRed
365,Oppa Bear Evolution Gen.2 #656,2790.2050883433867,RabbitOrange,DropYellow,Rainbow Super Rare,PaintGreen,EyesGreen,,HeadBandYellow,OPOrange,NormalGreen,RibbonRed,PirateKingBlue,NoseRingPurple,RocketRed,BearBlue
369,Oppa Bear Evolution Gen.2 #310,2780.649088787387,DollarYellow,CirclePurple,Rainbow Super Rare,SmokeLightGreen,EyesGreen,,ClayBlue,TopRed,NormalPurple,ChainRed,PirateKingRed,,,ShieldTagGreen
373,Oppa Bear Evolution Gen.2 #776,2779.0582064940945,RadioPurple,BoomBlue,Rainbow Super Rare,WireGreen,EyesRed,,,RadiantPink,HappyPurple,,RobotRed,Stitches,,HappySoulPink
377,Oppa Bear Evolution Gen.2 #361,2757.74604865268,BombYellow,ThunderBlue,Rainbow Super Rare,,EyesPink,BeamYellow,RingGreen,BlinkRed,HappyBrown,HeartYellow,MarioRed,MoonPurple,,OppaTagPink
381,Oppa Bear Evolution Gen.2 #499,2753.4936824388583,TagPink,BurnPink,Rainbow Super Rare,,EyesRed,OPYellow,RingOrange,MushroomYellow,NormalGreen,,JacketYellow,SweatGreen,,
384,Oppa Bear Evolution Gen.2 #911,2747.7226560795966,SignBlue,CircleYellow,Rainbow Super Rare,HornBlue,EyesRed,BeamRed,SantaBlue,GhostPurple,NormalPurple,,AstronautBluishGreen,,SunflowerRed,
388,Oppa Bear Evolution Gen.2 #208,2740.8083356742286,RabbitBlue,FuturisticPurple,Rainbow Super Rare,PlasterGreen,EyesRed,WingRed,TurbineBlue,BirdYellow,Upset,,SteamPunkBlue,,MilitaryPurple,
392,Oppa Bear Evolution Gen.2 #738,2731.896815253756,DollarYellow,CircleYellow,Rainbow Super Rare,EarPhoneBlue,EyesRed,PirateBlindGreen,,TopBlue,SurprisedPurple,,SportsWearPurple,StitchesDown,,StarBlue
396,Oppa Bear Evolution Gen.2 #363,2726.899165844342,Sword,CircleGreen,Rainbow Super Rare,HeadPhoneGreen,EyesRed,,StylishHairPink,BlinkRed,NormalGreen,SoulChainYellow,SportsWearYellow,MoustachePurple,HappyPurpleCat,
400,Oppa Bear Evolution Gen.2 #217,2717.038406473895,SkateboardRed,VenomRed,Rainbow Super Rare,BroochBlue,EyesGreen,,,RazorGunOrange,HappyGreen,DoubleChainGreen,AstronautPurple,MoustacheBrown,RoundYellow,
404,Oppa Bear Evolution Gen.2 #215,2713.7973910519145,DollarOrange,HeartPurple,Rainbow Super Rare,,EyesPink,PirateBlindGreen,TurbineRed,RazorGunBlue,SurprisedGreen,DiamondBlue,PirateKingBlue,SnotBlue,,
408,Oppa Bear Evolution Gen.2 #70,2713.748895921626,RocketPink,FuturisticRed,Rainbow Super Rare,EarsPurple,EyesRed,,FuturisticCap,SprayPurple,SurprisedPurple,,MarioRed,CatFootPurple,,SprayGreen
412,Oppa Bear Evolution Gen.2 #22,2709.8408364067323,,CircleGreen,Rainbow Super Rare,HornRed,EyesRed,,BagRed,SprayPurple,HappyGreen,ChainRed,PirateKingBlue,PlasterPink,,FireGreen
416,Oppa Bear Evolution Gen.2 #874,2703.117584344118,TagBlue,SmokeRed,Rainbow Super Rare,AirHeadRed,EyesGreen,,StylishHairPink,BlinkRed,ExcitedPink,DoubleChainPink,UniformDressPink,,BananaYellow,
420,Oppa Bear Evolution Gen.2 #148,2699.002924946321,WingOrange,ThunderBlue,Rainbow Super Rare,,EyesPink,ScubaRed,HiphopRed,CanPurple,ExcitedBlack,,SteamPunkBlue,,,FlowerYellow
424,Oppa Bear Evolution Gen.2 #239,2695.614763971705,BacktroopYellow,PunkRed,Rainbow Super Rare,EarsBlue,EyesRed,,,ButterflyPink,ExcitedPink,,SuitRed,Cross,BroochBlue,TickRed
427,Oppa Bear Evolution Gen.2 #576,2688.8368196937604,BalloonBlue,GrainYellow,Rainbow Super Rare,DoubleRingRed,EyesRed,BurnOrange,,RadiantYellow,NormalGreen,DoubleChainPurple,ScottBlue,,,
431,Oppa Bear Evolution Gen.2 #251,2686.5936586857442,BagBlue,CirclePurple,Rainbow Super Rare,EarPhoneBlue,EyesRed,,,NinjaBlue,NormalBlue,,MarioBlue,Shy,CatBroochPurple,WingOrange
435,Oppa Bear Evolution Gen.2 #799,2683.91941807177,RingGreen,PunkGreen,Rainbow Super Rare,,EyesPink,BeamRed,,BearPink,HappyGreen,,PirateKingBlue,SweatYellow,GameoverRed,AliveGreen
439,Oppa Bear Evolution Gen.2 #804,2683.517926852627,DollarOrange,StarLightPurple,Rainbow Super Rare,BowGreen,EyesPink,,,MarsPurple,NormalGreen,DoraemonBlue,WearLightGreen,,,MilkPink
443,Oppa Bear Evolution Gen.2 #18,2667.1838844011304,,FuturisticBlue,Rainbow Super Rare,HornPurple,EyesGreen,SmartYellow,,CaptainBluish green,HappyPurple,HeartPurple,SportsWearYellow,,,MilkPink
447,Oppa Bear Evolution Gen.2 #670,2665.021628465024,,MixGreen,Rainbow Super Rare,TurtleGreen,EyesPink,,,TopRed,NormalGreen,,AstronautBluishGreen,NoseRingBlue,BlowPink,SprayGreen
451,Oppa Bear Evolution Gen.2 #41,2650.43277619799,,LineRed,Rainbow Super Rare,,EyesGreen,RazorBlue,Farmer,CloudRed,SurprisedGreen,,SpaceShiftRed,,HappyBluish GreenCat,
455,Oppa Bear Evolution Gen.2 #772,2645.9986637808524,MusicRed,ShadeRed,Rainbow Super Rare,KeyOrange,EyesRed,,,StarButtonYellow,HappyPurple,HeartYellow,SteamPunkPurple,,24TagPurple,LipRed
459,Oppa Bear Evolution Gen.2 #555,2633.9603766923174,,DropGreen,Rainbow Super Rare,TurtleRed,EyesRed,,BoaterRed,SprayGreen,HappyBrown,BagYellow,JacketBlue,,StarBlue,
463,Oppa Bear Evolution Gen.2 #545,2617.091692839938,SignRed,FuturisticPurple,Rainbow Super Rare,SmokeBlue,EyesRed,,SantaBlue,StarButtonYellow,NormalPurple,,WinterWearPurple,,,SprayRed
466,Oppa Bear Evolution Gen.2 #698,2608.178866535807,,PunkYellow,Rainbow Super Rare,JapanTagGreen,EyesRed,StarYellow,,LollipopRed,ExcitedBlack,,SpaceShiftGreen,,,OppaTagYellow
470,Oppa Bear Evolution Gen.2 #305,2596.6195072578057,,MixRed,Rainbow Super Rare,PlasterYellow,EyesGreen,,ClayBlue,BearBlue,NormalPurple,,PirateKingBlue,,HeadBonePink,VenomPurple
474,Oppa Bear Evolution Gen.2 #609,2592.1339238002124,RabbitPurple,StarLightPurple,Rainbow Super Rare,RingPink V2,EyesPink,SleepPurple,,IceCreamPink,SurprisedGreen,,WinterWearGreen,SnotBlue,GameoverRed,
478,Oppa Bear Evolution Gen.2 #87,2571.310909673661,BacktroopBlue,GrainYellow,Rainbow Super Rare,,EyesPink,Round,,ButterflyGreen,NormalBlue,,TuxedoPurple,,RocketRed,TickRed
482,Oppa Bear Evolution Gen.2 #591,2564.07570697207,BombYellow,GrainGreen,Rainbow Super Rare,PlasterYellow,EyesGreen,,StylishHairPink,LipPink,NormalPurple,,SteamPunkPurple,JellyGreen,,
486,Oppa Bear Evolution Gen.2 #433,2553.7473209645664,,TonePink,Rainbow Super Rare,,EyesGreen,SparklingBlue,SantaBlue,CanPurple,HappyPurple,,WinterWearGreen,PlasterWhite,,
490,Oppa Bear Evolution Gen.2 #229,2549.675214048657,,GrainGreen,Rainbow Super Rare,RingPurple,EyesGreen,,,ButterflyBlue,NormalBlue,RibbonGreen,TuxedoBlue,RazorBeardPurple,RoundYellow,
494,Oppa Bear Evolution Gen.2 #269,2541.4955498524905,,TonePink,Rainbow Super Rare,,EyesRed,Round,TurbineBlue,SprayPurple,NormalGreen,,TuxedoBlue,CatFootYellow,,
498,Oppa Bear Evolution Gen.2 #299,2534.364215728747,ParrotPink,ThunderBlue,Rainbow Super Rare,,EyesRed,StarPink,MarioCapYellow,OPOrange,NormalBlue,,TuxedoPurple,,HeadBoneBlue,
502,Oppa Bear Evolution Gen.2 #235,2534.2236146199775,ThunderBlue,StarGreen,Rainbow Super Rare,,EyesGreen,,CapCute Pink,GhostPurple,Lovely,,DressGreen,,,ShieldTagPurple
506,Oppa Bear Evolution Gen.2 #916,2488.04577382207,ParrotPurple,VenomRed,Rainbow Super Rare,,EyesRed,,BoaterRed,MarsBrown,NormalBlue,,SuitGreen V2,,,FoxOrange
509,Oppa Bear Evolution Gen.2 #227,2480.1516613781955,,AbstractBlue,Rainbow Super Rare,,EyesGreen,SmartYellow,HiphopBlue,BirdYellow,SurprisedPurple,,SteamPunkBlue,,BlowBlue,
513,Oppa Bear Evolution Gen.2 #419,2478.67326917239,,BoomBlue,Rainbow Super Rare,PaintPink,EyesGreen,,,PooPink,SurprisedGreen,ScarfGreen,HoodieYellow,BeardGreen,,
517,Oppa Bear Evolution Gen.2 #524,2471.761908715996,,LineGreen,Rainbow Super Rare,,EyesGreen,XO,,CloudRed,Scary,DiamondRed,SuitGreen V2,Cross,,
521,Oppa Bear Evolution Gen.2 #246,2467.2531256100665,BrokenWingPink,DropGreen,Rainbow Super Rare,,EyesRed,SleepGreen,HiphopRed,ButterflyGreen,Lovely,,AstronautGreen,,,
525,Oppa Bear Evolution Gen.2 #195,2461.8717082098415,SkateboardPurple,ThunderRed,Rainbow Super Rare,CherryYellow,EyesPink,,StylishHairGreen,StarButtonBlue,HappyPurple,,PirateKingRed,,,
529,Oppa Bear Evolution Gen.2 #604,2443.609291666945,BagBlue,GrainYellow,Rainbow Super Rare,IronMaskYellow,EyesGreen,,,SprayOrange,NormalBlue,,AstronautPurple,,HappyGreenCat,
533,Oppa Bear Evolution Gen.2 #285,2361.9902476285456,,PunkYellow,Rainbow Super Rare,,EyesGreen,,PunkPink,BombYellow,ExcitedPink,,JacketBlue,,,
537,Oppa Bear Evolution Gen.2 #387,2356.830784085307,TagBlue,ThunderBlue,Rainbow Rare,DoubleRingGreen,EyesPink,GreenThug,BagYellow,LittleGhost,SurprisedGreen,TuxedoBlue,MarioYellow,CatFootYellow,Pocket,SmilePink V2
541,Oppa Bear Evolution Gen.2 #740,2311.8023649129436,BrokenWingYellow,StarLightGreen,Rainbow Rare,BowYellow,EyesPink,OPPink,HiphopBlue,ButterflyPink,HappyPurple,,UniformBlue,,BearYellow,ConePurple
545,Oppa Bear Evolution Gen.2 #437,2305.051073696962,BacktroopYellow,AbstractPink,Rainbow Rare,HornRed,EyesGreen,SmartYellow,StylishHairGreen,MoonPurple,NormalBlue,,SportsWearPurple,RazorBeardGreen,,IceCreamPurple
548,Oppa Bear Evolution Gen.2 #71,2288.807340622109,,VenomRed,Rainbow Rare,PlasterPink V2,EyesGreen,SleepPurple,,BlinkOrange,NormalGreen,DoubleChainPink,TuxedoGreen,,BoneBlue,ConePurple
552,Oppa Bear Evolution Gen.2 #129,2276.542628662495,BrokenWingPink,GrainYellow,Rainbow Rare,EarsBlue,EyesPink,SparklingBlue,BurnOrange,BlinkRed,SurprisedPurple,,MarioYellow,BeardPurple,GhostPurple,VenomGreen
